index	displacement
1	0.106
2	0.262
3	0.287
4	0.157
5	0.197
6	0.353
7	0.305
8	0.214
9	0.291
10	0.353
11	0.266
12	0.221
13	0.268
14	0.26
15	0.189
16	0.161
17	0.158
18	0.146
19	0.087
20	0.049
21	0.054
22	0.06
23	0.009
24	0.017
25	0.092
26	0.099
27	0.131
28	0.252
29	0.378
30	0.347
31	0.482
32	0.491
33	0.359
34	0.391
35	0.257
36	0.382
37	0.394
38	0.406
39	0.575
40	0.727
41	0.907
42	1.143
43	0.526
44	2.475
45	2.058
46	1.227
47	0.206
48	0.478
49	2.491
50	1.341
51	0.058
52	0.513
53	0.759
54	2.527
55	1.536
56	2.352
57	1.796
58	2.295
59	1.863
60	0.8
61	0.347
62	0.258
63	0.079
64	0.07
65	0.086
66	0.051
67	0.009
68	0.012
69	0.038
70	0.05
71	0.039
72	0.043
73	0.073
74	0.092
75	0.114
76	0.117
77	0.128
78	0.16
79	0.228
80	0.222
81	0.209
82	0.279
83	0.4
84	0.413
85	0.312
86	0.163
87	0.161
88	0.28
89	0.248
90	0.077
91	0.175
92	0.204
93	0.188
94	0.196
95	0.037
96	0.067
97	0.068
98	0.024
99	0.025
100	0.07
101	0.084
102	0.068
103	0.089
104	0.1
105	0.093
106	0.1
107	0.134
108	0.097
109	0.077
110	0.124
111	0.114
112	0.041
113	0.063
114	0.083
115	0.017
116	0.02
117	0.068
118	0.02
119	0.043
120	0.069
121	0.217
122	0.623
123	1.092
124	0.672
125	0.386
126	0.612
127	0.802
128	0.448
129	0.328
130	0.397
131	0.418
132	0.262
133	0.221
134	0.229
135	0.17
136	0.097
137	0.106
138	0.052
139	0.002
140	0.057
141	0.181
142	0.151
143	0.232
144	0.487
145	0.701
146	0.84
147	1.008
148	1.285
149	1.125
150	0.81
151	0.797
152	0.683
153	0.407
154	0.255
155	0.079
156	0.042
157	0.029
158	0.045
159	0.079
160	0.091
161	0.179
162	0.354
163	0.361
164	0.326
165	0.474
166	0.699
167	0.498
168	0.481
169	0.732
170	0.583
171	0.338
172	0.543
173	0.688
174	0.299
175	0.376
176	0.864
177	0.678
178	0.665
179	1.069
180	1.673
181	1.594
182	1.643
183	2.293
184	1.483
185	1.083
186	0.629
187	0.475
188	0.287
189	0.17
190	0.118
191	0.169
192	0.119
193	0.077
194	0.119
195	0.154
196	0.118
197	0.13
198	0.208
199	0.187
200	0.169
201	0.187
202	0.203
203	0.154
204	0.096
205	0.082
206	0.111
207	0.072
208	0.014
209	0.072
210	0.359
211	0.343
212	0.47
213	0.683
214	1.327
215	1.647
216	2.581
217	1.844
218	0.866
219	1.354
220	0.814
221	0.359
222	0.117
223	0.136
224	0.047
225	0.009
226	0.031
227	0.047
228	0.028
229	0.055
230	0.083
231	0.07
232	0.072
233	0.072
234	0.063
235	0.059
236	0.042
237	0.02
238	0.026
239	0.015
240	0.004
241	0.025
242	0.043
243	0.017
244	0.074
245	0.149
246	0.11
247	0.141
248	0.282
